date,time,condition,mood_score,ready_score
2023-03-02,13:19,A,2.333333333,2.166666667
2023-03-09,10:30,A,3.6,2
2023-03-09,17:47,A,2.6,2
2023-03-09,1:41,A,3.333333333,1
2023-03-11,22:35,A,3.166666667,1.166666667
2023-03-12,10:05,A,2.333333333,2
2023-03-12,16:02,A,3.166666667,2.166666667
2023-03-14,9:40,A,3.166666667,2.666666667
2023-03-14,15:18,A,3.333333333,2.833333333
2023-03-14,0:10,A,3.4,2.333333333
2023-03-03,15:02,B,3,2
2023-03-07,9:31,B,4,2.833333333
2023-03-07,18:18,B,3.166666667,2
2023-03-10,11:06,B,4,2.166666667
2023-03-13,14:31,B,3.533333333,1.933333333
2023-03-15,10:00,B,3.866666667,2.5
2023-03-15,14:48,B,3.166666667,3.333333333
